id,lat,lon,category,geometry,address,geom,address_list,region,city,clusters
2188,37.46271648,-5.34761743,B,POINT (-5.34761743 37.46271648),"Iglesia de Santa María La Blanca, Plaza de Santa María La Blanca, Fuentes de Andalucía, Sevilla, Andalucía, España","('37.46271648', '-5.34761743')","['Iglesia de Santa María La Blanca', 'Plaza de Santa María La Blanca', 'Fuentes de Andalucía', 'Sevilla', 'Andalucía', 'España']",Sevilla,Fuentes de Andalucía,2
2189,37.52645229,-5.24916945,B,POINT (-5.24916945 37.52645229),"Calle Giralda, La Luisiana, Sevilla, Andalucía, 41430, España","('37.52645229', '-5.24916945')","['Calle Giralda', 'La Luisiana', 'Sevilla', 'Andalucía', '41430', 'España']",Andalucía,Sevilla,2
2190,41.11910287,1.2584219,B,POINT (1.2584219 41.11910287),"Catedral de Tarragona, Pla de la Seu, Part Alta, Tarragona, Tarragonès, Tarragona, Catalunya, 43001, España","('41.11910287', '1.2584219')","['Catedral de Tarragona', 'Pla de la Seu', 'Part Alta', 'Tarragona', 'Tarragonès', 'Tarragona', 'Catalunya', '43001', 'España']",Catalunya,Tarragona,3
2191,42.77697592,-7.416287433,B,POINT (-7.416287433 42.77697592),"Policia Municipal, Praza da Constitución, Sarria, Lugo, Galicia, 27600, España","('42.77697592', '-7.416287433')","['Policia Municipal', 'Praza da Constitución', 'Sarria', 'Lugo', 'Galicia', '27600', 'España']",Galicia,Lugo,5
2192,39.94591018,-0.06448283,B,POINT (-0.06448283 39.94591018),"Farmàcia, Carrer de Sant Lluís, Grupo Corell, Almassora, la Plana Alta, Castelló / Castellón, Comunitat Valenciana, 12550, España","('39.94591018', '-0.06448283')","['Farmàcia', 'Carrer de Sant Lluís', 'Grupo Corell', 'Almassora', 'la Plana Alta', 'Castelló / Castellón', 'Comunitat Valenciana', '12550', 'España']",Comunitat Valenciana,Castelló / Castellón,pending
2193,38.08574117,-0.94664572,B,POINT (-0.94664572 38.08574117),"Plaza del Salvador, Orihuela, Rabaloche, Orihuela, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, España","('38.08574117', '-0.94664572')","['Plaza del Salvador', 'Orihuela', 'Rabaloche', 'Orihuela', 'el Baix Segura / La Vega Baja del Segura', 'Alacant / Alicante', 'Comunitat Valenciana', 'España']",Alacant / Alicante,el Baix Segura / La Vega Baja del Segura,6
2194,38.37888591,-4.84958064,B,POINT (-4.84958064 38.37888591),"Iglesia de Santa Catalina, Plaza de la Iglesia, Pozoblanco, Córdoba, Andalucía, 14400, España","('38.37888591', '-4.84958064')","['Iglesia de Santa Catalina', 'Plaza de la Iglesia', 'Pozoblanco', 'Córdoba', 'Andalucía', '14400', 'España']",Andalucía,Córdoba,pending
2195,37.38620512,-5.99251368,B,POINT (-5.99251368 37.38620512),"La Giralda, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Sevilla, Andalucía, 41004, España","('37.38620512', '-5.99251368')","['La Giralda', 'Plaza Virgen de los Reyes', 'Santa Cruz', 'Casco Antiguo', 'Sevilla', 'Andalucía', '41004', 'España']",Andalucía,Sevilla,2
2196,41.38424664,2.17634927,B,POINT (2.17634927 41.38424664),"Catedral de la Santa Creu i Santa Eulàlia, Carrer dels Comtes, el Gòtic, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","('41.38424664', '2.17634927')","['Catedral de la Santa Creu i Santa Eulàlia', 'Carrer dels Comtes', 'el Gòtic', 'Ciutat Vella', 'Barcelona', 'Barcelonès', 'Barcelona', 'Catalunya', '08001', 'España']",Catalunya,Barcelona,pending
2197,37.70113499,-5.28521754,B,POINT (-5.28521754 37.70113499),"Iglesia de Ntra. Sra. de la Asunción, Calle Santa Clara, Palma del Río, Córdoba, Andalucía, 14700, España","('37.70113499', '-5.28521754')","['Iglesia de Ntra. Sra. de la Asunción', 'Calle Santa Clara', 'Palma del Río', 'Córdoba', 'Andalucía', '14700', 'España']",Andalucía,Córdoba,2
2198,36.71005782,-4.63171653,B,POINT (-4.63171653 36.71005782),"Parroquia Pedro Apóstol, Calle Compás, Cártama, Valle del Guadalhorce, Málaga, Andalucía, 29580, España","('36.71005782', '-4.63171653')","['Parroquia Pedro Apóstol', 'Calle Compás', 'Cártama', 'Valle del Guadalhorce', 'Málaga', 'Andalucía', '29580', 'España']",Andalucía,Málaga,pending
2199,36.88076763,-5.40470441,B,POINT (-5.40470441 36.88076763),"Ayuntamiento de Algodonales, Avenida de Andalucía, Algodonales, Sierra de Cádiz, Cádiz, Andalucía, 11680, España","('36.88076763', '-5.40470441')","['Ayuntamiento de Algodonales', 'Avenida de Andalucía', 'Algodonales', 'Sierra de Cádiz', 'Cádiz', 'Andalucía', '11680', 'España']",Andalucía,Cádiz,12
2200,41.38424664,2.17634927,B,POINT (2.17634927 41.38424664),"Catedral de la Santa Creu i Santa Eulàlia, Carrer dels Comtes, el Gòtic, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","('41.38424664', '2.17634927')","['Catedral de la Santa Creu i Santa Eulàlia', 'Carrer dels Comtes', 'el Gòtic', 'Ciutat Vella', 'Barcelona', 'Barcelonès', 'Barcelona', 'Catalunya', '08001', 'España']",Catalunya,Barcelona,pending
2201,42.85058789,-2.67275685,B,POINT (-2.67275685 42.85058789),"Catedral de Santa María / Santa Maria katedrala, Frai Zacarias Martinez kalea/Calle Fray Zacarías Martínez, Alde Zaharra/Casco Viejo, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01001, España","('42.85058789', '-2.67275685')","['Catedral de Santa María / Santa Maria katedrala', 'Frai Zacarias Martinez kalea/Calle Fray Zacarías Martínez', 'Alde Zaharra/Casco Viejo', 'Vitoria-Gasteiz', 'Gasteizko kuadrilla/Cuadrilla de Vitoria', 'Araba/Álava', 'Euskadi', '01001', 'España']",Euskadi,Araba/Álava,0
2202,38.1140353,-0.90524865,B,POINT (-0.90524865 38.1140353),"Iglesia de San Miguel Arcángel, Calle San Miguel, Redován, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03370, España","('38.1140353', '-0.90524865')","['Iglesia de San Miguel Arcángel', 'Calle San Miguel', 'Redován', 'el Baix Segura / La Vega Baja del Segura', 'Alacant / Alicante', 'Comunitat Valenciana', '03370', 'España']",Comunitat Valenciana,Alacant / Alicante,6
