id,lat,lon,category,geometry,address,geom,address_list,region,city
1609,38.07903959,-1.2696077,B,POINT (-1.2696077 38.07903959),"Iglesia de Santa María Magdalena, Plaza Vieja, Ceutí, Vega Media del Segura, Región de Murcia, 30562, España","('38.07903959', '-1.2696077')","['Iglesia de Santa María Magdalena', 'Plaza Vieja', 'Ceutí', 'Vega Media del Segura', 'Región de Murcia', '30562', 'España']",Región de Murcia,Vega Media del Segura
1610,37.98436361,-1.1285408,B,POINT (-1.1285408 37.98436361),"Catedral de Murcia, Calle de los Apóstoles, La Catedral, Murcia, Área Metropolitana de Murcia, Región de Murcia, 30001, España","('37.98436361', '-1.1285408')","['Catedral de Murcia', 'Calle de los Apóstoles', 'La Catedral', 'Murcia', 'Área Metropolitana de Murcia', 'Región de Murcia', '30001', 'España']",Región de Murcia,Área Metropolitana de Murcia
1611,38.0505597,-1.21163275,B,POINT (-1.21163275 38.0505597),"Iglesia de Nuestra Señora de la Asunción, Calle del Pensionista, Los Vientos, Molina de Segura, Vega Media del Segura, Región de Murcia, 30500, España","('38.0505597', '-1.21163275')","['Iglesia de Nuestra Señora de la Asunción', 'Calle del Pensionista', 'Los Vientos', 'Molina de Segura', 'Vega Media del Segura', 'Región de Murcia', '30500', 'España']",Región de Murcia,Vega Media del Segura
1612,43.25721957,-2.92390606,B,POINT (-2.92390606 43.25721957),"Catedral de Santiago / Done Jakue katedrala, Done Jakue plazatxoa / Plazuela Santiago, Ribera / Erribera, Casco Viejo, Ibaiondo, Bilbao, Bizkaia, Euskadi, 48005, España","('43.25721957', '-2.92390606')","['Catedral de Santiago / Done Jakue katedrala', 'Done Jakue plazatxoa / Plazuela Santiago', 'Ribera / Erribera', 'Casco Viejo', 'Ibaiondo', 'Bilbao', 'Bizkaia', 'Euskadi', '48005', 'España']",Euskadi,Bizkaia
1613,39.4837855,-0.44189692,B,POINT (-0.44189692 39.4837855),"Parroquia Purisima Concepción, Carrer de Sant Onofre, Molí d'Animeta, Quart de Poblet, l'Horta Oest, València / Valencia, Comunitat Valenciana, 46930, España","('39.4837855', '-0.44189692')","['Parroquia Purisima Concepción', 'Carrer de Sant Onofre', ""Molí d'Animeta"", 'Quart de Poblet', ""l'Horta Oest"", 'València / Valencia', 'Comunitat Valenciana', '46930', 'España']",Comunitat Valenciana,València / Valencia
1614,41.5174919,2.35833463,B,POINT (2.35833463 41.5174919),"Carrer d'Àngel Guimerà, Vilassar de Dalt, Maresme, Barcelona, Catalunya, 08339, España","('41.5174919', '2.35833463')","[""Carrer d'Àngel Guimerà"", 'Vilassar de Dalt', 'Maresme', 'Barcelona', 'Catalunya', '08339', 'España']",Catalunya,Barcelona
1615,39.5893341,-0.33500891,B,POINT (-0.33500891 39.5893341),"Policia Local, Carrer del Calvari, Rafelbunyol, l'Horta Nord, València / Valencia, Comunitat Valenciana, 46138, España","('39.5893341', '-0.33500891')","['Policia Local', 'Carrer del Calvari', 'Rafelbunyol', ""l'Horta Nord"", 'València / Valencia', 'Comunitat Valenciana', '46138', 'España']",Comunitat Valenciana,València / Valencia
1616,42.82500552,-1.61642189,B,POINT (-1.61642189 42.82500552),"Club de Jubilados de Burlada, Calle Las Maestras, Erripagaña, Burlada/Burlata, Iruñerria / Comarca de Pamplona, Navarra - Nafarroa, 31600, España","('42.82500552', '-1.61642189')","['Club de Jubilados de Burlada', 'Calle Las Maestras', 'Erripagaña', 'Burlada/Burlata', 'Iruñerria / Comarca de Pamplona', 'Navarra - Nafarroa', '31600', 'España']",Navarra - Nafarroa,Iruñerria / Comarca de Pamplona
1617,41.53329124,2.08098195,B,POINT (2.08098195 41.53329124),"St. Quirze i Sta. Julita, Carrer Mossèn Francisco Rosales, Sant Quirze del Vallès, Vallès Occidental, Barcelona, Catalunya, 08192, España","('41.53329124', '2.08098195')","['St. Quirze i Sta. Julita', 'Carrer Mossèn Francisco Rosales', 'Sant Quirze del Vallès', 'Vallès Occidental', 'Barcelona', 'Catalunya', '08192', 'España']",Catalunya,Barcelona
1618,41.56236346,2.01215141,B,POINT (2.01215141 41.56236346),"Catedral del Sant Esperit, Plaça Vella, Centre, Terrassa, Vallès Occidental, Barcelona, Catalunya, 08221, España","('41.56236346', '2.01215141')","['Catedral del Sant Esperit', 'Plaça Vella', 'Centre', 'Terrassa', 'Vallès Occidental', 'Barcelona', 'Catalunya', '08221', 'España']",Catalunya,Barcelona
